id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
8383,START01,Number Mirror,200,455212,355749,294782,0,-1,[-1],
41206,GDTURN,Good Turn,238,78114,55068,46443,0,21892,"22260,22261,22262,22263",START78
10882,FLOW001,Add Two Numbers,242,794380,605380,467604,0,-1,[-1],
37770,AGELIMIT,Age Limit,245,168233,113368,95138,1,16184,"17362,17363,17364,17365",START42
39674,SQUATS,Squats,249,98454,78888,65702,1,20348,"21398,21399,21400,21401",START66
40829,TAXSAVING,Saving Taxes,252,59040,51020,44378,0,21614,"21627,21628,21629,21630",START75
39479,WATERCONS,Water Consumption,254,91605,75283,62058,0,20346,"20693,20694,20695,20696",START64
37845,BIRYANI,Biryani classes,257,117702,100498,83605,0,16186,"17370,17371,17372,17373",START44
37868,FIT,Fitness,258,115374,98235,83300,0,16191,"17382,17383,17384,17385",JUNE222
40293,LUDO,Chef Plays Ludo,260,57223,49807,44359,1,21612,"21619,21620,21621,21622",START73
37807,BURGERS,Burgers,263,115226,92517,78653,0,16185,"17374,17375,17376,17377",START43
37599,PRACLIST,How many unattempted problems,264,92354,79364,68928,0,16193,"16798,16799,16800,16801",LTIME108
37817,DETSCORE,Determine the Score,267,89257,73438,64148,0,16194,"17378,17379,17380,17381",LTIME109
39945,KITCHENTIME,Kitchen Timings,273,62780,54908,47441,0,21433,"21443,21444,21445,21446",START70
39027,TAXES,Tax in Chefland,276,96143,76410,63873,0,19308,"20255,20256,20257,20258",START60
38996,AUDIBLE,Audible Range,279,86743,68464,58600,0,19307,"20055,20056,20057,20058",START59
39185,TIMELY,Reach on Time,279,79816,68349,58186,0,19309,"20286,20287,20288,20289",START61
37363,TALLER,Who is taller!,281,114624,90197,75534,0,14530,"14531,14532,14533,14534",START36
38840,REACHTARGET,Reach the Target,281,85070,74557,63165,0,18950,"19303,19304,19305,19306",START58
39751,KNGTOR,Tour of King,283,60615,53175,46384,0,20349,"21422,21423,21424,21425",START67
